pubchem_cid	pubchem_url	drugcentral_id	drugcentral_url	glytoucan_ac	glytoucan_url
2720	https://pubchem.ncbi.nlm.nih.gov/compound/2720	609	https://drugcentral.org/drugcard/609		
2722	https://pubchem.ncbi.nlm.nih.gov/compound/2722	611	https://drugcentral.org/drugcard/611		
2723	https://pubchem.ncbi.nlm.nih.gov/compound/2723	3094	https://drugcentral.org/drugcard/3094		
2724	https://pubchem.ncbi.nlm.nih.gov/compound/2724	614	https://drugcentral.org/drugcard/614		
2725	https://pubchem.ncbi.nlm.nih.gov/compound/2725	616	https://drugcentral.org/drugcard/616		
2726	https://pubchem.ncbi.nlm.nih.gov/compound/2726	621	https://drugcentral.org/drugcard/621		
2727	https://pubchem.ncbi.nlm.nih.gov/compound/2727	622	https://drugcentral.org/drugcard/622		
2732	https://pubchem.ncbi.nlm.nih.gov/compound/2732	625	https://drugcentral.org/drugcard/625		
2733	https://pubchem.ncbi.nlm.nih.gov/compound/2733	626	https://drugcentral.org/drugcard/626		
2741	https://pubchem.ncbi.nlm.nih.gov/compound/2741	628	https://drugcentral.org/drugcard/628		
2747	https://pubchem.ncbi.nlm.nih.gov/compound/2747	630	https://drugcentral.org/drugcard/630		
2749	https://pubchem.ncbi.nlm.nih.gov/compound/2749	636	https://drugcentral.org/drugcard/636		
2754	https://pubchem.ncbi.nlm.nih.gov/compound/2754	644	https://drugcentral.org/drugcard/644		
2756	https://pubchem.ncbi.nlm.nih.gov/compound/2756	645	https://drugcentral.org/drugcard/645		
2758	https://pubchem.ncbi.nlm.nih.gov/compound/2758	4259	https://drugcentral.org/drugcard/4259		
2762	https://pubchem.ncbi.nlm.nih.gov/compound/2762	657	https://drugcentral.org/drugcard/657		
2763	https://pubchem.ncbi.nlm.nih.gov/compound/2763	658	https://drugcentral.org/drugcard/658		
2764	https://pubchem.ncbi.nlm.nih.gov/compound/2764	659	https://drugcentral.org/drugcard/659		
