cv_id	glytoucan_ac	pubchem_ac
52921656	G00033MO	52921656
52921668	G99269VI	52921668
52939789	G24432YB	52939789
5311110	G55614WT	5311110
5317448	G24361QY	5317448
5319249	G20420WT	5319249
5319263	G34468EW	5319263
5319264	G35338PW	5319264
5321399	G65070VQ	5321399
53239691	G99053DY	53239691
53239694	G97013VN	53239694
53239699	G99454KR	53239699
53239701	G60233WN	53239701
53239702	G35915AS	53239702
53239703	G15973YF	53239703
53239704	G17480GI	53239704
53239705	G02710ET	53239705
53239706	G80141XN	53239706
53239707	G83638RK	53239707
53239708	G33018IJ	53239708
53239713	G21727XX	53239713
53239714	G16353SN	53239714
53239716	G82455MC	53239716
53239717	G50348ER	53239717
53239718	G34068XZ	53239718
53239730	G11971MR	53239730
53239752	G75206XT	53239752
53239753	G80587NA	53239753
53239769	G58507AZ	53239769
53239770	G17108EX	53239770
53239771	G99315PE	53239771
53239789	G53190JD	53239789
53239796	G88393MK	53239796
53239800	G39064VB	53239800
53244998	G65832SQ	53244998
53245190	G99172BA	53245190
53245191	G57474XD	53245191
53249955	G86237UF	53249955
53262298	G58399HX	53262298
53262301	G70115XG	53262301
53262308	G55601IV	53262308
53262323	G43081BK	53262323
53262326	G58202EC	53262326
53262329	G53410DD	53262329
53262334	G44345UH	53262334
53262341	G94097TZ	53262341
53262355	G42553JB	53262355
53262359	G66163TI	53262359
53262364	G88544LM	53262364
53262369	G49963IQ	53262369
53262374	G39896WY	53262374
53262375	G32968SR	53262375
53262376	G74353FF	53262376
53262382	G26929DQ	53262382
53262385	G41082WI	53262385
53262389	G74609HP	53262389
53262392	G34473LL	53262392
53262393	G09494DM	53262393
5326971	G40696TO	5326971
53353899	G45273EO	53353899
53356679	G22046GD	53356679
53356680	G54604OG	53356680
53356681	G94934HZ	53356681
53356688	G83633HB	53356688
53356699	G91532KA	53356699
53356701	G32679VL	53356701
53356702	G66892DM	53356702
53356709	G08926IP	53356709
53356710	G51744MD	53356710
53356713	G30807YB	53356713
53356727	G13040AD	53356727
53356728	G71416GU	53356728
53356729	G46613JI	53356729
53356730	G94956AW	53356730
53356732	G00053MO	53356732
53477581	G70021RH	53477581
53477583	G38322AX	53477583
